case_id,mask_strategy,mask_intensity,seed,planner,target_granularity,support_ceiling,initial_granularity,final_granularity,reached_target,explicit_stop,correct_target_stop,correct_degrade_stop,correct_stop,ceiling_violation,cost_to_target,budget_used,steps_to_target,steps_taken,actions_taken,zero_yield_actions,overlap_waste_cost,initial_hidden_claims,recovered_claims,final_node_coverage,final_edge_coverage,final_critical_gap_count,initial_direct_over_attribution,channel_prior_multiplier,channel_prior_scope,execution_channel_profile_sha256,planner_channel_prior_sha256,execution_channel_profile_held_constant,cost_regime,cost_profile_id,cost_profile_version,cost_profile_sha256,channel_prior_consumed_by_planner,oracle_cost_to_target,cost_regret_vs_oracle,oracle_top1_action_id,oracle_top1_action_hit,premature_stop,justified_degrade_stop
C07-darpa-e5-theia-0515,random,0.2,11,project05_m2,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,0,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,11,afa_voi_myopic,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,1,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,11,afa_voi_rollout_h3,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,1,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,11,oracle_optimal,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,0,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,23,project05_m2,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,1.0,1.0,1,1,C07-AA-004,0,0.0,1,1,1.0,1.0,0,1,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,0,1.0,0.0,C07-AA-004,1,0,0
C07-darpa-e5-theia-0515,random,0.2,23,afa_voi_myopic,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,1.0,1.0,1,1,C07-AA-004,0,0.0,1,1,1.0,1.0,0,1,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,1,1.0,0.0,C07-AA-004,1,0,0
C07-darpa-e5-theia-0515,random,0.2,23,afa_voi_rollout_h3,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,1.0,1.0,1,1,C07-AA-004,0,0.0,1,1,1.0,1.0,0,1,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,1,1.0,0.0,C07-AA-004,1,0,0
C07-darpa-e5-theia-0515,random,0.2,23,oracle_optimal,G3_campaign,G3_campaign,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,1.0,1.0,1,1,C07-AA-004,0,0.0,1,1,1.0,1.0,0,1,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,0,1.0,0.0,C07-AA-004,1,0,0
C07-darpa-e5-theia-0515,random,0.2,37,project05_m2,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,0,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,37,afa_voi_myopic,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,1,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,37,afa_voi_rollout_h3,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,1,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,37,oracle_optimal,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,0,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,41,project05_m2,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,0,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,41,afa_voi_myopic,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,1,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,41,afa_voi_rollout_h3,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,1,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,41,oracle_optimal,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,0,0.0,0.0,,0,0,0
C07-darpa-e5-theia-0515,random,0.2,53,project05_m2,G3_campaign,G3_campaign,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,1,0,1.0,1.0,0,0,1.0,planner_belief_only,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,dc26424604b7870351630a2420206197f2b67eecda08e74afaebc83b7fe91d05,1,uniform,project05-uniform-cost-v1,1.0.0,f4c2555b511a9226c339047cfcffb5a9a2f10387ee59c845b157add413896b4e,0,0.0,0.0,,0,0,0
